stratum	endpoint	method	gene	donors	genotypes	called	correct	genotype_accuracy_pct	alleles	allele_matches	allele_accuracy_pct
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	ALL	20	159	4	0	0.0	318	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	B	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	C	19	19	0	0	0.0	38	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DPA1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DPB1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DQA1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DQB1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DRB1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	A	20	20	2	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	ALL	20	159	5	1	0.6289308176100629	318	4	1.2578616352201257
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	B	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	C	19	19	0	0	0.0	38	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DPA1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DPB1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DQA1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DQB1	20	20	3	1	5.0	40	4	10.0
EAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DRB1	20	20	0	0	0.0	40	0	0.0
EAS	assembly_exact_CDS_twofield	SpecHLA	A	20	20	20	13	65.0	40	32	80.0
EAS	assembly_exact_CDS_twofield	SpecHLA	ALL	20	159	159	126	79.24528301886792	318	276	86.79245283018868
EAS	assembly_exact_CDS_twofield	SpecHLA	B	20	20	20	14	70.0	40	31	77.5
EAS	assembly_exact_CDS_twofield	SpecHLA	C	19	19	19	12	63.1578947368421	38	29	76.3157894736842
EAS	assembly_exact_CDS_twofield	SpecHLA	DPA1	20	20	20	20	100.0	40	40	100.0
EAS	assembly_exact_CDS_twofield	SpecHLA	DPB1	20	20	20	15	75.0	40	33	82.5
EAS	assembly_exact_CDS_twofield	SpecHLA	DQA1	20	20	20	14	70.0	40	33	82.5
EAS	assembly_exact_CDS_twofield	SpecHLA	DQB1	20	20	20	19	95.0	40	39	97.5
EAS	assembly_exact_CDS_twofield	SpecHLA	DRB1	20	20	20	19	95.0	40	39	97.5
EAS	assembly_exact_CDS_twofield	T1K	A	20	20	14	13	65.0	40	28	70.0
EAS	assembly_exact_CDS_twofield	T1K	ALL	20	159	142	134	84.27672955974843	318	281	88.36477987421384
EAS	assembly_exact_CDS_twofield	T1K	B	20	20	14	11	55.0	40	27	67.5
EAS	assembly_exact_CDS_twofield	T1K	C	19	19	14	11	57.89473684210526	38	27	71.05263157894737
EAS	assembly_exact_CDS_twofield	T1K	DPA1	20	20	20	20	100.0	40	40	100.0
EAS	assembly_exact_CDS_twofield	T1K	DPB1	20	20	20	20	100.0	40	40	100.0
EAS	assembly_exact_CDS_twofield	T1K	DQA1	20	20	20	20	100.0	40	40	100.0
EAS	assembly_exact_CDS_twofield	T1K	DQB1	20	20	20	19	95.0	40	39	97.5
EAS	assembly_exact_CDS_twofield	T1K	DRB1	20	20	20	20	100.0	40	40	100.0
EAS	experimental_twofield	Locityper_full	A	8	8	8	8	100.0	16	16	100.0
EAS	experimental_twofield	Locityper_full	ALL	8	39	36	31	79.48717948717949	78	69	88.46153846153847
EAS	experimental_twofield	Locityper_full	B	8	8	8	6	75.0	16	14	87.5
EAS	experimental_twofield	Locityper_full	C	8	8	7	6	75.0	16	14	87.5
EAS	experimental_twofield	Locityper_full	DQB1	7	7	7	6	85.71428571428571	14	13	92.85714285714286
EAS	experimental_twofield	Locityper_full	DRB1	8	8	6	5	62.5	16	12	75.0
EAS	experimental_twofield	Locityper_hprc	A	8	8	8	7	87.5	16	15	93.75
EAS	experimental_twofield	Locityper_hprc	ALL	8	39	39	28	71.7948717948718	78	66	84.61538461538461
EAS	experimental_twofield	Locityper_hprc	B	8	8	8	6	75.0	16	14	87.5
EAS	experimental_twofield	Locityper_hprc	C	8	8	8	7	87.5	16	15	93.75
EAS	experimental_twofield	Locityper_hprc	DQB1	7	7	7	6	85.71428571428571	14	13	92.85714285714286
EAS	experimental_twofield	Locityper_hprc	DRB1	8	8	8	2	25.0	16	9	56.25
EAS	experimental_twofield	PanGenie_whole_locus_full	A	8	8	3	0	0.0	16	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_full	ALL	8	39	3	0	0.0	78	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_full	B	8	8	0	0	0.0	16	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_full	C	8	8	0	0	0.0	16	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_full	DQB1	7	7	0	0	0.0	14	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_full	DRB1	8	8	0	0	0.0	16	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_hprc	A	8	8	2	0	0.0	16	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_hprc	ALL	8	39	2	0	0.0	78	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_hprc	B	8	8	0	0	0.0	16	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_hprc	C	8	8	0	0	0.0	16	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_hprc	DQB1	7	7	0	0	0.0	14	0	0.0
EAS	experimental_twofield	PanGenie_whole_locus_hprc	DRB1	8	8	0	0	0.0	16	0	0.0
EAS	experimental_twofield	SpecHLA	A	8	8	8	8	100.0	16	16	100.0
EAS	experimental_twofield	SpecHLA	ALL	8	39	39	36	92.3076923076923	78	74	94.87179487179488
EAS	experimental_twofield	SpecHLA	B	8	8	8	8	100.0	16	16	100.0
EAS	experimental_twofield	SpecHLA	C	8	8	8	8	100.0	16	16	100.0
EAS	experimental_twofield	SpecHLA	DQB1	7	7	7	7	100.0	14	14	100.0
EAS	experimental_twofield	SpecHLA	DRB1	8	8	8	5	62.5	16	12	75.0
EAS	experimental_twofield	T1K	A	8	8	8	8	100.0	16	16	100.0
EAS	experimental_twofield	T1K	ALL	8	39	39	34	87.17948717948718	78	72	92.3076923076923
EAS	experimental_twofield	T1K	B	8	8	8	7	87.5	16	15	93.75
EAS	experimental_twofield	T1K	C	8	8	8	7	87.5	16	15	93.75
EAS	experimental_twofield	T1K	DQB1	7	7	7	6	85.71428571428571	14	13	92.85714285714286
EAS	experimental_twofield	T1K	DRB1	8	8	8	6	75.0	16	13	81.25
SAS	assembly_exact_CDS_twofield	Locityper_full	A	20	20	20	16	80.0	40	36	90.0
SAS	assembly_exact_CDS_twofield	Locityper_full	ALL	20	160	158	143	89.375	320	303	94.6875
SAS	assembly_exact_CDS_twofield	Locityper_full	B	20	20	20	18	90.0	40	38	95.0
SAS	assembly_exact_CDS_twofield	Locityper_full	C	20	20	20	20	100.0	40	40	100.0
SAS	assembly_exact_CDS_twofield	Locityper_full	DPA1	20	20	20	19	95.0	40	39	97.5
SAS	assembly_exact_CDS_twofield	Locityper_full	DPB1	20	20	20	18	90.0	40	38	95.0
SAS	assembly_exact_CDS_twofield	Locityper_full	DQA1	20	20	20	18	90.0	40	38	95.0
SAS	assembly_exact_CDS_twofield	Locityper_full	DQB1	20	20	20	18	90.0	40	38	95.0
SAS	assembly_exact_CDS_twofield	Locityper_full	DRB1	20	20	18	16	80.0	40	36	90.0
SAS	assembly_exact_CDS_twofield	Locityper_hprc	A	20	20	20	15	75.0	40	35	87.5
SAS	assembly_exact_CDS_twofield	Locityper_hprc	ALL	20	160	160	139	86.875	320	299	93.4375
SAS	assembly_exact_CDS_twofield	Locityper_hprc	B	20	20	20	18	90.0	40	38	95.0
SAS	assembly_exact_CDS_twofield	Locityper_hprc	C	20	20	20	20	100.0	40	40	100.0
SAS	assembly_exact_CDS_twofield	Locityper_hprc	DPA1	20	20	20	19	95.0	40	39	97.5
SAS	assembly_exact_CDS_twofield	Locityper_hprc	DPB1	20	20	20	14	70.0	40	34	85.0
SAS	assembly_exact_CDS_twofield	Locityper_hprc	DQA1	20	20	20	18	90.0	40	38	95.0
SAS	assembly_exact_CDS_twofield	Locityper_hprc	DQB1	20	20	20	19	95.0	40	39	97.5
SAS	assembly_exact_CDS_twofield	Locityper_hprc	DRB1	20	20	20	16	80.0	40	36	90.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	A	20	20	6	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	ALL	20	160	10	1	0.625	320	6	1.875
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	B	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	C	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DPA1	20	20	3	1	5.0	40	4	10.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DPB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DQA1	20	20	1	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DQB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_full	DRB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	A	20	20	2	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	ALL	20	160	7	1	0.625	320	7	2.1875
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	B	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	C	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DPA1	20	20	3	1	5.0	40	4	10.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DPB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DQA1	20	20	1	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DQB1	20	20	1	0	0.0	40	1	2.5
SAS	assembly_exact_CDS_twofield	PanGenie_whole_locus_hprc	DRB1	20	20	0	0	0.0	40	0	0.0
SAS	assembly_exact_CDS_twofield	SpecHLA	A	20	20	20	9	45.0	40	25	62.5
SAS	assembly_exact_CDS_twofield	SpecHLA	ALL	20	160	160	110	68.75	320	258	80.625
SAS	assembly_exact_CDS_twofield	SpecHLA	B	20	20	20	8	40.0	40	23	57.5
SAS	assembly_exact_CDS_twofield	SpecHLA	C	20	20	20	8	40.0	40	27	67.5
SAS	assembly_exact_CDS_twofield	SpecHLA	DPA1	20	20	20	17	85.0	40	37	92.5
SAS	assembly_exact_CDS_twofield	SpecHLA	DPB1	20	20	20	12	60.0	40	30	75.0
SAS	assembly_exact_CDS_twofield	SpecHLA	DQA1	20	20	20	17	85.0	40	37	92.5
SAS	assembly_exact_CDS_twofield	SpecHLA	DQB1	20	20	20	19	95.0	40	39	97.5
SAS	assembly_exact_CDS_twofield	SpecHLA	DRB1	20	20	20	20	100.0	40	40	100.0
SAS	assembly_exact_CDS_twofield	T1K	A	20	20	9	7	35.0	40	18	45.0
SAS	assembly_exact_CDS_twofield	T1K	ALL	20	160	129	120	75.0	320	255	79.6875
SAS	assembly_exact_CDS_twofield	T1K	B	20	20	8	6	30.0	40	16	40.0
SAS	assembly_exact_CDS_twofield	T1K	C	20	20	12	7	35.0	40	21	52.5
SAS	assembly_exact_CDS_twofield	T1K	DPA1	20	20	20	20	100.0	40	40	100.0
SAS	assembly_exact_CDS_twofield	T1K	DPB1	20	20	20	20	100.0	40	40	100.0
SAS	assembly_exact_CDS_twofield	T1K	DQA1	20	20	20	20	100.0	40	40	100.0
SAS	assembly_exact_CDS_twofield	T1K	DQB1	20	20	20	20	100.0	40	40	100.0
SAS	assembly_exact_CDS_twofield	T1K	DRB1	20	20	20	20	100.0	40	40	100.0
